id,x,y
1,0.0,608.0
2,-0.41666666666606034,1920.5
3,2558.5833333333344,1920.5
4,2558.6666666666674,1251.5
5,2402.5833333333344,1212.5416666666665
6,2423.4166666666674,1200.0416666666665
7,2415.0833333333344,1189.625
8,2396.3333333333344,1177.125
9,2348.4166666666674,1158.375
10,2335.9166666666674,1135.4583333333335
11,2304.6666666666674,1127.125
12,2298.4166666666674,1104.2083333333335
13,2269.2500000000005,1095.875
14,2171.3333333333344,1070.875
15,2279.6666666666674,1041.7083333333335
16,2277.5833333333344,1031.2916666666665
17,2246.3333333333344,1033.375
18,2221.3333333333344,1016.7083333333334
19,2177.5833333333344,1033.375
20,2127.5833333333344,1016.7083333333334
21,2083.8333333333344,1008.3749999999999
22,2050.5000000000005,1002.1249999999999
23,2048.4166666666674,995.8749999999999
24,2098.4166666666674,981.2916666666666
25,2090.0833333333344,970.8749999999999
26,2029.6666666666672,966.7083333333333
27,1971.3333333333342,952.1249999999999
28,2017.1666666666672,925.0416666666666
29,2017.1666666666672,897.9583333333333
30,1979.6666666666672,893.7916666666666
31,1940.0833333333342,875.0416666666666
32,1917.5,858.9583333333333
33,1805.0,861.0416666666666
34,1830.0,836.0416666666666
35,1817.5,827.7083333333333
36,1809.083333333334,829.875
37,1752.833333333334,821.5416666666666
38,1740.333333333334,811.125
39,1702.833333333334,811.125
40,1573.5000000000005,769.6249999999999
41,1527.6666666666672,746.7083333333333
42,1511.0000000000005,744.6249999999999
43,1413.083333333334,713.3749999999999
44,1433.9166666666672,700.8749999999999
45,1429.7500000000005,692.5416666666666
46,1433.9166666666672,682.1249999999999
47,1384.8750000000005,674.0
48,1258.9166666666672,682.1249999999999
49,1246.4166666666672,667.5416666666666
50,1208.9166666666672,663.3749999999999
51,1161.958333333334,665.6666666666666
52,1070.2916666666672,657.3333333333333
53,682.7916666666672,632.3333333333333
54,480.7083333333338,621.9166666666666
55,297.37500000000045,621.9166666666666
